Date,Close,High,Low,Open,Volume
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
2025-01-01,23742.900390625,23822.80078125,23562.80078125,23637.650390625,154900
2025-01-02,24188.650390625,24226.69921875,23751.55078125,23783.0,283200
2025-01-03,24004.75,24196.44921875,23976.0,24196.400390625,312300
2025-01-06,23616.05078125,24089.94921875,23551.900390625,24045.80078125,278100
2025-01-07,23707.900390625,23795.19921875,23637.80078125,23679.900390625,262300
2025-01-08,23688.94921875,23751.849609375,23496.150390625,23746.650390625,266400
2025-01-09,23526.5,23689.5,23503.05078125,23674.75,269200
2025-01-10,23431.5,23596.599609375,23344.349609375,23551.900390625,261000
2025-01-13,23085.94921875,23340.94921875,23047.25,23195.400390625,316500
2025-01-14,23176.05078125,23264.94921875,23134.150390625,23165.900390625,311200
2025-01-15,23213.19921875,23293.650390625,23146.44921875,23250.44921875,228000
2025-01-16,23311.80078125,23391.650390625,23272.05078125,23377.25,299400
2025-01-17,23203.19921875,23292.099609375,23100.349609375,23277.099609375,272900
2025-01-20,23344.75,23391.099609375,23170.650390625,23290.400390625,301500
2025-01-21,23024.650390625,23426.30078125,22976.849609375,23421.650390625,312900
2025-01-22,23155.349609375,23169.55078125,22981.30078125,23099.150390625,276000
2025-01-23,23205.349609375,23270.80078125,23090.650390625,23128.30078125,275600
2025-01-24,23092.19921875,23347.30078125,23050.0,23183.900390625,264300
2025-01-27,22829.150390625,23007.44921875,22786.900390625,22940.150390625,257400
2025-01-28,22957.25,23137.94921875,22857.650390625,22960.44921875,361900
2025-01-29,23163.099609375,23183.349609375,22976.5,23026.75,226300
2025-01-30,23249.5,23322.05078125,23139.19921875,23169.5,361900
2025-01-31,23508.400390625,23546.80078125,23277.400390625,23296.75,304900
2025-02-01,23482.150390625,23632.44921875,23318.30078125,23528.599609375,281000
2025-02-03,23361.05078125,23381.599609375,23222.0,23319.349609375,329700
2025-02-04,23739.25,23762.75,23423.150390625,23509.900390625,376700
2025-02-05,23696.30078125,23807.30078125,23680.44921875,23801.75,267000
2025-02-06,23603.349609375,23773.55078125,23556.25,23761.94921875,307000
2025-02-07,23559.94921875,23694.5,23443.19921875,23649.5,368100
2025-02-10,23381.599609375,23568.599609375,23316.30078125,23543.80078125,234200
2025-02-11,23071.80078125,23390.05078125,22986.650390625,23383.55078125,268000
2025-02-12,23045.25,23144.69921875,22798.349609375,23050.80078125,279700
2025-02-13,23031.400390625,23235.5,22992.19921875,23055.75,265700
2025-02-14,22929.25,23133.69921875,22774.849609375,23096.44921875,254500
2025-02-17,22959.5,22974.19921875,22725.44921875,22809.900390625,207400
2025-02-18,22945.30078125,22992.5,22801.5,22963.650390625,210600
2025-02-19,22932.900390625,23049.94921875,22814.849609375,22847.25,207000
2025-02-20,22913.150390625,22923.849609375,22812.75,22821.099609375,240800
2025-02-21,22795.900390625,22921.0,22720.30078125,22857.19921875,242800
2025-02-24,22553.349609375,22668.05078125,22518.80078125,22609.349609375,214300
2025-02-25,22547.55078125,22625.30078125,22513.900390625,22516.44921875,250300
2025-02-27,22545.05078125,22613.30078125,22508.400390625,22568.94921875,289200
2025-02-28,22124.69921875,22450.349609375,22104.849609375,22433.400390625,551300
2025-03-03,22119.30078125,22261.55078125,22004.69921875,22194.55078125,282400
2025-03-04,22082.650390625,22105.05078125,21964.599609375,21974.44921875,253300
2025-03-05,22337.30078125,22394.900390625,22067.80078125,22073.05078125,305900
2025-03-06,22544.69921875,22556.44921875,22245.849609375,22476.349609375,372100
2025-03-07,22552.5,22633.80078125,22464.75,22508.650390625,289800
2025-03-10,22460.30078125,22676.75,22429.05078125,22521.849609375,293900
2025-03-11,22497.900390625,22522.099609375,22314.69921875,22345.94921875,347900
2025-03-12,22470.5,22577.400390625,22329.55078125,22536.349609375,369700
2025-03-13,22397.19921875,22558.05078125,22377.349609375,22541.5,287500
2025-03-17,22508.75,22577.0,22353.150390625,22353.150390625,251100
2025-03-18,22834.30078125,22857.80078125,22599.19921875,22662.25,272600
2025-03-19,22907.599609375,22940.69921875,22807.94921875,22874.94921875,324000
2025-03-20,23190.650390625,23216.69921875,22973.94921875,23036.599609375,313700
2025-03-21,23350.400390625,23402.69921875,23132.80078125,23168.25,541000
2025-03-24,23658.349609375,23708.75,23433.5,23515.400390625,311900
2025-03-25,23668.650390625,23869.599609375,23601.400390625,23751.5,338200
2025-03-26,23486.849609375,23736.5,23451.69921875,23700.94921875,278600
2025-03-27,23591.94921875,23646.44921875,23412.19921875,23433.94921875,510300
2025-03-28,23519.349609375,23649.19921875,23450.19921875,23600.400390625,295400
2025-04-01,23165.69921875,23565.150390625,23136.400390625,23341.099609375,314300
2025-04-02,23332.349609375,23350.0,23158.44921875,23192.599609375,341000
2025-04-03,23250.099609375,23306.5,23145.80078125,23150.30078125,283200
2025-04-04,22904.44921875,23214.69921875,22857.44921875,23190.400390625,466800
2025-04-07,22161.599609375,22254.0,21743.650390625,21758.400390625,647100
2025-04-08,22535.849609375,22697.19921875,22270.849609375,22446.75,468300
2025-04-09,22399.150390625,22468.69921875,22353.25,22460.30078125,383800
2025-04-11,22828.55078125,22923.900390625,22695.400390625,22695.400390625,402200
2025-04-15,23328.55078125,23368.349609375,23207.0,23368.349609375,388300
2025-04-16,23437.19921875,23452.19921875,23273.05078125,23344.099609375,348400
2025-04-17,23851.650390625,23872.349609375,23298.55078125,23401.849609375,505300
2025-04-21,24125.55078125,24189.55078125,23903.650390625,23949.150390625,406100
2025-04-22,24167.25,24242.599609375,24072.0,24185.400390625,440900
